0.1,0,-1.1,0,0,0,0,0,-0.046,0,0,0
0,0,-0.046,0,0,0,0,0,-0.046,-5.859605e-07,-8.319263e-07,-7.583236e-07
-1.986013e-10,1.810307e-10,-0.04576128,0,0,0,-1.986013e-10,1.810307e-10,-0.04576128,-5.307663e-07,1.229438e-07,1.120685e-07
-1.445091e-10,1.317234e-10,-0.0453213,0,0,0,-1.445091e-10,1.317234e-10,-0.0453213,-7.185017e-08,-9.92189e-06,-5.498497e-07
-5.541999e-09,4.308411e-10,-0.0447773,0,0,0,-5.541999e-09,4.308411e-10,-0.0447773,-1.382878e-06,-4.622185e-05,-1.141246e-06
-3.002986e-08,1.035495e-09,-0.04424751,0,0,0,-3.002986e-08,1.035495e-09,-0.04424751,5.916042e-07,-0.0001020515,2.797481e-06
-7.535429e-08,-2.069854e-10,-0.04380338,0,0,0,-7.535429e-08,-2.069854e-10,-0.04380338,5.626246e-06,-0.0001632794,3.930011e-06
-1.304238e-07,-1.532777e-09,-0.04346611,0,0,0,-1.304238e-07,-1.532777e-09,-0.04346611,1.940531e-06,-0.0002083188,7.166864e-08
-1.780413e-07,-1.549251e-09,-0.04323753,0,0,0,-1.780413e-07,-1.549251e-09,-0.04323753,-4.337307e-07,-0.0002140837,1.874635e-06
-2.034298e-07,-1.771555e-09,-0.04311894,0,0,0,-2.034298e-07,-1.771555e-09,-0.04311894,1.330602e-05,-0.0001877953,9.397721e-06
-2.050189e-07,-1.851101e-09,-0.04311047,0,0,0,-2.050189e-07,-1.851101e-09,-0.04311047,2.042197e-05,-0.0001630327,1.014472e-05
-1.890069e-07,-8.544226e-10,-0.04320869,0,0,0,-1.890069e-07,-8.544226e-10,-0.04320869,6.282094e-06,-0.0001640762,-1.092158e-07
-1.555243e-07,-8.764997e-10,-0.04341276,0,0,0,-1.555243e-07,-8.764997e-10,-0.04341276,-7.84746e-06,-0.0001920722,-1.502603e-05
-9.500586e-08,-5.611406e-09,-0.04372784,0,0,0,-9.500586e-08,-5.611406e-09,-0.04372784,-1.37904e-05,-0.0002281782,-2.351749e-05
3.497178e-09,-1.576513e-08,-0.04415953,0,0,0,3.497178e-09,-1.576513e-08,-0.04415953,-2.23665e-05,-0.000257518,-2.625109e-05
1.451514e-07,-3.02084e-08,-0.04470961,0,0,0,1.451514e-07,-3.02084e-08,-0.04470961,-3.144352e-05,-0.0002622542,-1.983143e-05
3.202875e-07,-4.345758e-08,-0.04537742,0,0,0,3.202875e-07,-4.345758e-08,-0.04537742,-2.985063e-05,-0.0002361553,-2.524272e-06
5.056816e-07,-4.54448e-08,-0.04616247,0,0,0,5.056816e-07,-4.54448e-08,-0.04616247,-2.014676e-05,-0.0002010315,1.214025e-05
6.86467e-07,-3.453086e-08,-0.04706176,0,0,0,6.86467e-07,-3.453086e-08,-0.04706176,-1.537868e-05,-0.0001772893,1.733002e-05
8.653249e-07,-1.705029e-08,-0.04807061,0,0,0,8.653249e-07,-1.705029e-08,-0.04807061,-1.481818e-05,-0.0001790558,9.808558e-06
1.065273e-06,-6.100215e-09,-0.04918729,0,0,0,1.065273e-06,-6.100215e-09,-0.04918729,-1.394477e-05,-0.0002044849,-6.659028e-06
1.315777e-06,-1.426134e-08,-0.05041233,0,0,0,1.315777e-06,-1.426134e-08,-0.05041233,-1.628448e-05,-0.0002332185,-1.932104e-05
